,ID,Severity_Binary,Start_Lat,Start_Lng,Distance(mi),Temperature(F),Humidity(%),Sunrise_Sunset,Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Traffic_Signal,Junction,Crossing,Hour,Day,Month,Year
0,A-1,1,39.865147,-84.058723,0.01,36.9,91.0,Night,29.68,10.0,8.1,0.02,Rain,0,0,0,5,8,2,2016
1,A-2,0,39.92805900000001,-82.831184,0.01,37.9,100.0,Night,29.65,10.0,8.1,0.0,Rain,0,0,0,6,8,2,2016
2,A-3,0,39.063148,-84.032608,0.01,36.0,100.0,Night,29.67,10.0,3.5,,Other,1,0,0,6,8,2,2016
3,A-4,1,39.747753,-84.20558199999998,0.01,35.1,96.0,Night,29.64,9.0,4.6,,Cloudy,0,0,0,7,8,2,2016
4,A-5,0,39.627781,-84.188354,0.01,36.0,89.0,Day,29.65,6.0,3.5,,Cloudy,1,0,0,7,8,2,2016
5,A-6,1,40.100590000000004,-82.92519399999998,0.01,37.9,97.0,Day,29.63,7.0,3.5,0.03,Rain,0,0,0,7,8,2,2016
6,A-7,0,39.758274,-84.23050699999997,0.0,34.0,100.0,Day,29.66,7.0,3.5,,Other,0,0,0,7,8,2,2016
7,A-8,1,39.770382,-84.194901,0.01,34.0,100.0,Day,29.66,7.0,3.5,,Other,0,0,0,7,8,2,2016
8,A-9,0,39.778061,-84.172005,0.0,33.3,99.0,Day,29.67,5.0,1.2,,Cloudy,0,0,0,8,8,2,2016
9,A-10,1,40.100590000000004,-82.92519399999998,0.01,37.4,100.0,Day,29.62,3.0,4.6,0.02,Rain,0,0,0,8,8,2,2016
10,A-11,1,39.952812,-83.119293,0.01,35.6,93.0,Day,29.64,5.0,5.8,,Rain,0,1,1,8,8,2,2016
11,A-12,1,39.932709,-82.83091,0.01,37.4,100.0,Day,29.62,3.0,4.6,0.02,Rain,0,0,0,8,8,2,2016
12,A-13,0,39.737633,-84.14993299999998,0.0,33.8,100.0,Day,29.63,3.0,2.3,,Other,0,0,0,8,8,2,2016
13,A-14,0,39.79076,-84.241547,0.01,36.0,89.0,Day,29.65,10.0,5.8,,Cloudy,1,0,0,8,8,2,2016
14,A-15,0,39.972038,-82.913521,0.01,37.4,100.0,Day,29.62,3.0,4.6,0.02,Rain,1,0,0,8,8,2,2016
15,A-16,0,39.745888,-84.17041,0.01,33.8,100.0,Day,29.63,3.0,2.3,,Other,0,0,0,8,8,2,2016
16,A-17,0,39.748329,-84.224007,0.01,35.6,99.0,Day,29.65,7.0,2.3,,Cloudy,0,0,0,8,8,2,2016
17,A-18,0,39.752174,-84.239952,0.0,36.0,89.0,Day,29.65,10.0,5.8,,Cloudy,0,0,0,9,8,2,2016
18,A-19,0,39.740669,-84.184135,0.01,37.4,93.0,Day,29.63,10.0,6.9,,Other,1,0,1,9,8,2,2016
19,A-20,0,39.790703,-84.244461,0.01,36.0,89.0,Day,29.65,10.0,6.9,,Cloudy,0,0,0,9,8,2,2016
20,A-21,0,40.052509,-82.88233199999998,0.0,33.8,100.0,Day,29.62,2.0,4.6,0.01,Snow,0,0,0,10,8,2,2016
21,A-22,0,39.773346000000004,-84.224686,0.0,36.0,89.0,Day,29.65,10.0,6.9,,Cloudy,0,0,0,10,8,2,2016
22,A-23,0,39.628288,-84.226151,0.01,35.1,89.0,Day,29.65,6.0,8.1,0.02,Other,1,0,0,11,8,2,2016
23,A-24,1,40.023487,-82.994888,0.01,37.0,96.0,Day,29.63,8.0,5.8,0.0,Other,0,0,0,12,8,2,2016
24,A-25,0,39.761379,-84.25921600000002,0.01,37.9,76.0,Day,29.62,10.0,10.4,,Other,1,0,0,12,8,2,2016
25,A-26,0,40.158024,-82.641762,1.32,37.9,100.0,Day,29.6,5.0,4.6,0.01,Snow,0,0,0,12,8,2,2016
26,A-27,0,39.733219,-84.159653,0.0,36.0,86.0,Day,29.63,7.0,9.2,0.0,Snow,1,0,0,12,8,2,2016
27,A-28,0,39.775303,-84.200523,0.0,39.9,70.0,Day,29.61,10.0,11.5,0.0,Cloudy,1,0,0,14,8,2,2016
28,A-29,0,39.789322,-84.23910500000002,0.01,39.9,65.0,Day,29.61,10.0,8.1,,Cloudy,0,0,0,14,8,2,2016
29,A-30,0,39.758720000000004,-84.183762,0.0,39.2,75.0,Day,29.62,10.0,4.6,,Cloudy,0,0,0,15,8,2,2016
30,A-31,0,40.081459,-83.122398,0.01,37.0,89.0,Day,29.61,10.0,6.9,0.0,Other,1,0,0,16,8,2,2016
31,A-32,0,39.83321,-84.112946,0.0,34.2,97.0,Day,29.66,10.0,3.5,0.02,Rain,0,0,0,17,8,2,2016
32,A-33,1,40.042725,-82.99730699999998,0.01,33.8,100.0,Night,29.62,6.0,5.8,,Other,0,0,0,18,8,2,2016
33,A-34,1,39.974415,-82.848854,0.01,34.0,100.0,Night,29.65,6.0,8.1,0.07,Other,0,0,0,19,8,2,2016
34,A-35,0,39.994766,-83.02449,0.01,33.1,92.0,Night,29.63,7.0,8.1,0.0,Snow,0,0,0,20,8,2,2016
35,A-36,0,40.006477000000004,-83.030991,1.09,33.1,92.0,Night,29.63,9.0,9.2,0.0,Other,1,0,0,20,8,2,2016
36,A-37,0,39.742062,-84.186996,0.01,23.0,93.0,Night,29.65,5.0,11.5,,Snow,0,0,0,4,9,2,2016
37,A-38,0,39.843521,-82.78157,0.01,23.0,93.0,Night,29.63,2.5,11.5,,Snow,1,1,0,5,9,2,2016
38,A-39,0,39.782578,-84.178688,0.01,22.8,89.0,Night,29.69,4.0,11.5,0.0,Snow,0,0,0,5,9,2,2016
